"%s was added to your shopping cart.","%s 放入了购物车."
"* Required Fields","* 必须信息"
"First Name", "名"
"Last Name","姓"
"Email Address","邮箱地址"
"Add New Address","添加新地址"
"Create an account for later use","依据上述信息创建一个账号"
"Click here to login or create a new account","登陆或注册新账号"
"create a new account","创建一个新账号"
"Create a new account","创建一个新账号"
"Create New Account","创建新账号"
"Please enter the following information to create your account.","请完成下面所需信息以用于创建您的新账号。"
"Add New Condition","Add New Condition"
"Add to Cart","加入购物车"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Address","地址"
"Address %s of %s","地址 %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","付款信息出错"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您将要从购物车里删除这个产品吗?"
"Back","后退"
"Back to Billing Information","回到付款信息栏"
"Back to Select Addresses","更改地址"
"Back to Shipping Information","转去收货地址栏"
"Back to Shopping Cart","回到购物车"
"Based on your selection, you may be interested in the following items:","基本您的选项，您可能对以下商品感兴趣:"
"Billing Address","账单地址"
"Billing Information","支付信息"
"Billing Information - %s","支付信息 - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","无法将产品添加进购物车。"
"Cannot add the item to shopping cart","无法将产品添加进购物车。"
"Cannot add the item to shopping cart.","无法将产品添加进购物车。"
"Cannot apply the coupon code.","优惠券无法兑现"
"Cannot open the overview page","无法显示综述页面"
"Cannot remove the item.","无法移除产品。"
"Cannot update shopping cart.","无法更新购物车。"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","购物车消费额:"
"Change","更改"
"Change Billing Address","更改账单地址"
"Checkbox Text","Checkbox Text"
"Checkout","结算"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Checkout Method"
"Checkout Options","Checkout Options"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","结算条款"
"Checkout as Guest","作为访客结算"
"Checkout as a Guest or Register","作为访客或注册会员结算"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"City","城市"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">打印</a> 订购单据副本."
"Click <a href=""%s"">here</a> to continue shopping.","点击 <a href=""%s"">此处</a> 继续 shopping."
"Close","关闭"
"Company","公司"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Confirm Password","更改密码"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","继续"
"Continue Shopping","继续 Shopping"
"Continue to Billing Information","支付信息"
"Continue to Review Your Order","确认订单"
"Continue to Shipping Information","邮寄信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券 ""%s"" 无效."
"Coupon code ""%s"" was applied.","优惠券 ""%s"" 已经使用了."
"Coupon code was canceled.","优惠券取消了."
"Create Billing Address","添加账单地址"
"Create Shipping Address","添加邮寄地址"
"Data saving problem","数据存储异常"
"Default Billing","默认支付"
"Default Shipping","默认邮寄"
"Delete Condition","Delete Condition"
"Details","详细信息"
"Disabled","Disabled"
"Discount Codes","打折码"
"Display Cart Summary","显示购物车信息"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","显示商品数量"
"Display number of items in cart","显示购物车里的商品数量"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","改动"
"Edit Address","更改地址"
"Edit Billing Address","更改账单地址"
"Edit Items","编辑商品"
"Edit Shipping Address","更改邮寄地址"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Edit Your Cart"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","添加新地址"
"Enter your coupon code if you have one.","输入您的优惠码."
"Enter your destination to get a shipping estimate.","输入目的地并估算邮费."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","不含税"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot an Item?","Forgot an Item?"
"Forgot your password?","忘记密码?"
"Forgotten your password?","忘记密码?"
"Get a Quote","询价"
"Grand Total:","总额:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid method: %s","无效方式: %s"
"Item not found or already ordered","Item not found or already ordered"
"Items","Items"
"Load customer quote error","Load customer quote error"
"Loading next step...","Loading next step..."
"Login","登陆"
"LOGIN","登陆"
"Email address","邮箱地址"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Move to Wishlist"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","My Cart"
"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart Link","My Cart Link"
"New Address","New Address"
"New Condition","New Condition"
"One Page Checkout","单页快速结算省时省力"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Success","One Page Checkout Success"
"Order #","订单 #"
"Order Review","订单 再次确认"
"Order Success","下单成功"
"Other Items in Your Order","Other Items in Your Order"
"Password","密码"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Payment Information"
"Payment Method","支付方式"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method is not defined","Payment method is not defined"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","下单"
"Please agree to all Terms and Conditions before placing the order.","请您接受下单条款."
"Please agree to all Terms and Conditions before placing the orders.","请您接受下单条款."
"Please agree to all the terms and conditions before placing the order.","请您接受下单条款."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Price","价格"
"Proceed to Checkout","结算"
"Product","商品"
"Product Name","商品名称"
"Qty","数量"
"Quote Lifetime (days)","报价有效期 (days)"
"Recently added item(s)","新近添加的商品(s)"
"Register","注册"
"Register and save time!","Register and save time!"
"Register to Create an Account","注册新账号"
"Register with us for future convenience:","注册:"
"Remove Item","删除商品"
"Remove This Item","删除这个商品"
"Remove item","删除商品"
"Review Order","復審 订单"
"Review Order - %s","復審 订单 - %s"
"Sales","特价"
"Save Condition","Save Condition"
"Please enter a valid email address","请输入一个正确的邮箱地址"
"Please enter a registered email address.","请输入一个已注册过的邮箱地址"
"Save in address book","存入地址簿"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择邮寄方式"
"Select State/Province...","选择省会..."
"Select a billing address from your address book or enter a new address.","选择或添加一个新的账单地址."
"Select a shipping address from your address book or enter a new address.","选择或添加一个新的邮寄地址."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","邮寄至"
"Separate by "","".","Separate by "",""."
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","邮寄至别处"
"Ship to this address","寄到此处"
"Shipping Address","邮寄地址"
"Shipping Information","邮寄信息"
"Shipping Method","邮寄方式"
"Shipping Methods","邮寄方式"
"Shipping To","邮寄至"
"Shipping method has not been selected yet","邮寄方式未选"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","购物车"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","购物车是空的"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","部分商品数量不足."
"Some of the requested products are unavailable.","部分商品暂无."
"Sorry, no quotes are available for this order at this time.","对不起，订单报价暂无."
"State/Province","省会"
"Status","Status"
"Store View","Store View"
"Street Address","街道"
"Street Address %s","街道 %s"
"Submitting order information...","下单..."
"Subtotal","小计"
"Telephone","电话"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","谢谢光临!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","找不到这个商品."
"The product does not exist.","商品不存在了."
"There are <a href=""%s"">%s items</a> in your cart.","购物车里有 <a href=""%s"">%s 商品</a>."
"There is <a href=""%s"">1 item</a> in your cart.","购物车里有<a href=""%s"">1 商品</a>."
"There was an error processing your order. Please contact us or try again later.","后台处理您的订单时出现异常. 请您尽快联系我们或稍后重新尝试."
"This condition no longer exists.","This condition no longer exists."
"Total","总额"
"Total for this address","Total for this address"
"Unable to set Payment Method.","无法设置支付方式."
"Unit Price","单价"
"Update Qty &amp; Addresses","更新数量和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正在全力处理您的订单，很快您会收到一封关于订单细节的邮件. 一旦货物被发送，您会收到一封内含跟踪订单链接的邮件。"
"You have no items in your shopping cart.","您的购物车里无任何商品."
"You will receive an order confirmation email with details of your order and a link to track its progress.","您会收到一个订单确认邮件以及一个可以跟踪订单处理进程的链接."
"Your Checkout Progress","结算步骤"
"Your billing agreement # is: %s.","支付协议 # 是: %s."
"Your order # is: %s.","您的订单 # 是: %s."
"Your order has been received","非常感谢收到您的订单"
"Your order number is ","您的订单号是 "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","邮编"
"osCommerce Orders","osCommerce Orders"
"Valid Email Address","Email邮箱"
